TeamName,Location,Tag,CarNum,Cones,OffCourses,Dnfs,RawTime,AdjTime
Formule ETS,Montréal  QC,0a2827915167ad25f5c2ea37573f4ae6,111,,,,58.3,
AMZracing,Zürich,0dc04d2e702bf9b5f80b3e100bc86a7a,114,,,,61.81,
Penn State Racing,University Park  PA,415ca15f2d0040449ae067c11c0824ca,127,,,,61.16,
TaipeiTechRacing,Taipei  Taiwan,6a29e57976f3171cb6f901ef559457d3,131,,,,63.72,
Team Acceleracers,Pune  India,babf17f0be8800852dbb57e5eab3915e,153,,,,62.6,
Team Defianz Racing,New Delhi  India,8135258cbdf5600f0d8a1575a06624e3,201,,,,58.35,
FSRacing Team,Mostar  Bosnia and Herzegovina,f9981adc36dc585b6e8c197e1c867d24,202,,,,58.15,
RMIT Racing,Melbourne,0fba80e35e81300df4ec2de19ea61a2a,204,,,,63.32,
Wisconsin Racing (Combustion & Electric,Madison  WI,a805720f3b1e9943064faf56b5836485,206,,,,58.22,
RMIT Electric Racing,Melbourne,0244762ea53160ef7b7ed0023f80e662,231,,,,59.84,
Rennstall Esslingen,Esslingen,691238279941d82b2b7ea391c24808f7,277,,,,58.41,
Leeds Formula Race Team,Leeds  UK,d884248c3b8fb169c263a6ce82f79585,283,,,,63.83,
Strohm + Söhne,Nuremberg,214fdf643e0428fc0fd7def4217f993e,285,,,,62,
FS Team Delft,Delft,2815fb07c0c333b3b94b3d5ea7469c95,287,,,,62.11,
TDU Racing,Tokyo  Japan,da9bb3ff07e52e12b58f03a4dbfc56d7,300,,,,61.37,
Concordia Formula Racing,Montréal  QC,ab094586d770a5e5985e76876426b267,0,,,,63.61,
Oxford Brooks Racing,Oxford  UK,20eaad081db7cec20894fcbd82ed7b7b,3,,,,62.47,
VT Motorsports,Blacksburg  VA,9e071ed0ae8eb277f139e203a263b6a5,4,,,,61.75,
Formula Electric Racing NUST,Karachi  Pakistan,dee57f2f7d8bb307a82207276619016c,8,,,,62.47,
Gryphon Racing,Guelph  ON,24fc82ff7bf9a928c13c4f72fdfcf6d1,10,,,,59.26,
Carnegie Mellon Racing,Pittsburgh  PA,a96b57cba129b3256906884ea8b375c2,12,,,,60.69,
Dart Racing,Darmstadt,67eec1d7881bb79024a0dd991af77b10,14,,,,58.84,
Team Spark,Reykjavik,8da2d12908146f667360ae8db9254ae9,16,,,,61.57,
Velox Racing,San Antonio  TX,8b201bd6f7cc4e78b4af79a2832d2458,18,,,,62.22,
Ecurie Aix,Aachen,f297bc710b1658f1d953d97f04aa5cb2,24,,,,63.5,
Global Formula Racing,Corvallis  OR,44e4a0a791906b1e9bbfc73c0387071c,26,,,,61.58,
UMSAE Polar Bear Racing Electric,Winnipeg  MB,19e3f973a5e6adf810702d28b0dbe39e,27,,,,60.33,
Monash Motorsport,Melbourne,c7272088434b87ff463ae128ab18ac5e,42,,,,59.41,
Schulich Racing,Calgary  AB,89fcbca1a829f299f197f5dff199181e,49,,,,62.01,
Mines Formula,Golden  CO,82b03fe5d333e54a9595c8324e9eecfc,53,,,,61.98,
TTU Motorsports,Cookeville  TN,cfcaac0458f9e89405dbd07f4e4fdd9c,60,,,,62.58,
Wildcat Formula Racing,Tucson  AZ,6be6c7da981bee7c3c531e99637611f1,64,,,,63.89,
Equipe Poli Racing,São Paulo  Brazil,d7c60488c2c3053a2c9b3b952775f36a,66,,,,59.15,
UMSAE Polar Bear Racing,Winnipeg  MB,35fdb927bab97d0988bc6bd81b7256fe,69,,,,63.58,
Formula uOttawa,Ottawa  ON,67dbfe2d5e820e0fab424a3f0c6094b3,71,,,,61.47,
Zurra Formula Racing,Chennai  India,74cc33b9aaf0dcd0b24137c53a3d8e77,95,,,,61.66,
E.Stall Esslingen,Göppingen,f16d3534027f54c2c2210257b3e8708f,108,,,,63.88,
Tampere UAS Motorsport,Tampere  Finland,0d7336071cfea3902615dbe03f6d7e1b,109,,,,59.79,
NUST Formula Student Team,Karachi  Pakistan,323f41e3d0bdb9e3633b50fac23dc000,111,,,,60.63,
VITC Formula Electric,India,b63419d16371d6d3f762b1983ed89b60,114,,,,59.04,
AGH Racing,Krakow  Poland,14580bfb9c014a7d54b67dbdc04faab3,127,,,,63.47,
FS ONPU,Odessa,64bbe6d0ab55d3c1f74589efd56a52f7,131,,,,62.02,
Kettering University Formula SAE,Flint  MI,2f17be4ab34553d44c884e69e8de5366,153,,,,61.48,
Rennteam,Stuttgart,2e791ed7770db38f413db4627bc4567d,201,,,,58.62,
SLU – Parks Racing,St. Louis  MO,6868fe8c6b77b136d114a738f2dcfa62,202,,,,63.97,
Crimson Racing,Tuscaloosa  AL,62b2cc42ac286f46ca1b1689453ac37e,204,,,,59.88,
Panther Racing,Pittsburg  PA,cf0796888dba473ab032efa24241f11c,206,,,,58.16,
Race-Ing Team,Dortmund,2a9bfc059013773816ea158bbf20e856,231,,,,59.92,
LJMU e-Racing,Liverpool  UK,c882ce08398c6c1e8a270d969453c2c3,277,,,,62.4,
RIT Racing,Rochester  NY,2527015defed78fb8aaf4152b3f9951c,283,,,,62.82,
Team Bath Racing Electric,Bath  UK,4c7979b7cec01b2fff30351b5f10af25,285,,,,59.15,
PWR Racing Team,Wroclaw  Poland,ebabf6c7d757d8f245b197d83b3a912f,287,,,,61.25,
Pravega Racing,India,75d7834749d9ad45cc2ba12292cb1e68,300,,,,58.15,
University of Auckland,Auckland  New Zealand,589d6d978dfbd3ed2b77179cfa7d3dbf,0,,,,62.86,
Clemson University Formula SAE,Clemson  SC,83e3bc8cad4f48bb2b2f8433887b4582,3,,,,60.6,
The Sooner Racing Team,Norman  OK,efe97466abe586219fe08d2bab09dfbb,4,,,,61.06,
Rensselaer Motorsport,Troy  NY,6c99860210caa1a8ffcd9c34c2d97d80,8,,,,62.23,
KSU Motorsports,Kennesaw  GA,74e9b32310f950dcb96ea680f52e7efa,10,,,,59.02,
University Racing Eindhoven,Eindhoven,5cbbed5cf871947b73c4d4223a670287,12,,,,61.77,
Fierce formula India,Hyderabad  India,65582beace0fcea8b1c4675ddf5d715d,14,,,,63.01,
Cyclone Racing,Ames  IA,22ecc87eee89b016040ed69ee425fe5c,16,,,,58.57,
RoadRunner Racing,San Antonio  TX,c8c62bc766e5ec481125177cb63659f3,18,,,,63.91,
UTFR - UofT Formula Racing,Toronto  ON,32f2950033559531369a3de410b14790,24,,,,61.22,
Viking Motorsports,Portland  OR,c419da188fdccfdecc1c967e3667e249,26,,,,60.87,
Formula Trinity,Dublin,b97738fa0238bfc1fc6bdf92a65563aa,27,,,,60.72,
UTA Racing Formula SAE,Arlington  TX,b8c6839f8ee40ce03aff12f7096a60e4,42,,,,62.8,
Team Sleipnir,Reykjavik,9364a87e1f0b79f08851fa2d5a991092,49,,,,62.93,
USC Racing,Los Angeles  CA,871bda8f7745660bf13626336444948f,53,,,,61.1,
Mizzou Racing,Columbia  MO,28f34a85d8e9a9c00679a3e7764f06a6,60,,,,61.95,
Silesia Automotive,Katowice  Poland,468954324b97910738b32a8965a8ce1a,64,,,,59.4,
Bruin Racing FSAE,Los Angeles  CA,07c71c3e47b5c340a401abf6c9906df4,66,,,,63.35,
Warrior Racing,Detroit  MI,7d67df18cf17991e93b5c4f7e6607d72,69,,,,58.02,
Jayhawk Motorsports,Lawrence  KS,b1890e32dd28e15f79d4ce77e103c87f,71,,,,60.21,
Rutgers Formula Racing,Piscataway  NJ,2f768742577c3ae7e5f42fa674056215,95,,,,59.32,
